ID_spellbook,n_of_decks
1,658
2,767
3,1
4,1
5,15
6,38
7,17
8,2
9,3
10,187
11,147
12,220
13,72
14,167
15,131
16,187
17,66
18,876
19,4611
20,203
21,1537
22,527
23,735
24,1083
25,1520
26,1
27,1
28,1
29,1
30,1
31,0
32,167
33,14
34,20
35,28
36,980
37,884
38,1901
39,491
40,502
41,173
42,854
43,6
44,357
45,938
46,1049
47,183
48,2
49,16
50,2
51,7
52,1084
53,4762
54,52
55,1
56,0
57,0
58,17
59,23
60,59
61,454
62,451
63,211
64,234
65,222
66,122
67,12
68,1
69,364
70,582
71,151
72,21
73,0
74,1
75,1
76,1
77,0
78,12
79,65
80,170
81,56
82,3
83,15
84,24
85,15
86,0
87,0
88,0
89,5
90,0
91,13
92,7
93,4
94,26
95,0
96,65
97,20
98,13
99,643
100,63
101,2576
102,10
103,1197
104,41
105,11
106,23
107,15
108,21
109,1067
110,462
111,2011
112,360
113,1013
114,13
115,0
116,3
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,1
131,1
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,1
151,1
152,0
153,0
154,4
155,0
156,17
157,0
158,0
159,0
160,0
161,1
162,1
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,1
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,1
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,1
221,0
222,0
223,1
224,1
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,1
234,1
235,0
236,1
237,0
238,0
239,0
240,0
241,1
242,1
243,0
244,0
245,0
246,0
247,0
248,0
249,1
250,2
251,0
252,1
253,1
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,1
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,1
276,1
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,1
286,1
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,4
300,4
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,9
318,9
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
